Año,Mes,Fecha,Nombre ciudad,Genérico,Precio promedio
2018,7,2018-07-15,"Tapachula, Chis.",Colectivo,32
2018,7,2018-07-15,"Iguala, Gro.",Colectivo,27
2018,7,2018-07-15,"Tehuantepec, Oax.",Colectivo,20
2018,7,2018-07-15,"Tapachula, Chis.",Colectivo,19
2018,7,2018-07-15,Área Met. de la Cd. de México,Colectivo,17.5
2018,7,2018-07-15,"Mexicali, B.C.",Colectivo,15
2018,7,2018-07-15,"Mexicali, B.C.",Colectivo,15
2018,7,2018-07-15,"Acapulco, Gro.",Colectivo,15
2018,7,2018-07-15,"Acapulco, Gro.",Colectivo,15
2018,7,2018-07-15,"Acapulco, Gro.",Colectivo,15
2018,7,2018-07-15,"Acapulco, Gro.",Colectivo,15
2018,7,2018-07-15,"Tijuana, B.C.",Colectivo,15
2018,7,2018-07-15,"Tijuana, B.C.",Colectivo,15
2018,7,2018-07-15,"Tijuana, B.C.",Colectivo,15
2018,7,2018-07-15,"Fresnillo, Zac.",Colectivo,15
2018,7,2018-07-15,"Fresnillo, Zac.",Colectivo,15
2018,7,2018-07-15,"San Andrés Tuxtla, Ver.",Colectivo,15
2018,7,2018-07-15,"Mexicali, B.C.",Colectivo,13
2018,7,2018-07-15,"Mexicali, B.C.",Colectivo,13
2018,7,2018-07-15,"Monclova, Coah.",Colectivo,13
2018,7,2018-07-15,Área Met. de la Cd. de México,Autobús urbano,2
2018,7,2018-07-15,Área Met. de la Cd. de México,Autobús urbano,12
2018,7,2018-07-15,Área Met. de la Cd. de México,Autobús urbano,2
2018,7,2018-07-15,Área Met. de la Cd. de México,Autobús urbano,4
2018,7,2018-07-15,Área Met. de la Cd. de México,Autobús urbano,6
2018,7,2018-07-15,Área Met. de la Cd. de México,Autobús urbano,6
2018,7,2018-07-15,Área Met. de la Cd. de México,Autobús urbano,11.5
2018,7,2018-07-15,Área Met. de la Cd. de México,Autobús urbano,7
2018,7,2018-07-15,Área Met. de la Cd. de México,Autobús urbano,15
2018,7,2018-07-15,Área Met. de la Cd. de México,Autobús urbano,15
2018,7,2018-07-15,Área Met. de la Cd. de México,Autobús urbano,7
2018,7,2018-07-15,Área Met. de la Cd. de México,Autobús urbano,2
2018,7,2018-07-15,Área Met. de la Cd. de México,Autobús urbano,6
2018,7,2018-07-15,Área Met. de la Cd. de México,Autobús urbano,2
